mine_id,month,coal_type,depth,degree,mine_type,temp,pressure,diesel_usage,petrol_usage,electricity_usage,coal_mined,coal_used_as_fuel,vehicle_count,methane_emission,co2_emission
5,2010-11-27,Peat,156.51399534917826,1,open-cast,16.11270594203543,91.32542671570704,79465.09405381359,0,162710.81984999767,441480.5033658305,1.5237386913545827,22,24281.427685120678,214300.68078699042
3,2010-07-18,Bituminous C,128.63734319965891,3,open-cast,29.040330950505506,105.8954216074912,147603.45524174644,0,305704.7782270755,960411.6952690919,1.6427562007405,6,63195.0,398084.0392293425
6,2010-09-21,Sub-bituminous C,148.58234845704087,2,open-cast,25.8337045724051,105.72182113132803,32979.78570967932,0,72034.86733202888,177986.94104173195,12.010767028412799,25,44496.735260432986,88976.51161406322
3,2010-04-21,Bituminous A,230.41974235114483,2,underground,21.55945705268715,101.91556829501455,22802.36749670826,0,188611.96335228634,173571.32158400997,7.440320687474076,20,68347.0,62656.962990666885
10,2010-07-13,Lignite,125.69039642517795,3,open-cast,32.965115166999965,104.5076710169281,85379.72919839482,0,101190.25492132269,618027.7372050162,45.30973664795632,24,63340.0,229647.434342053
2,2010-06-26,Bituminous B,513.8850749940725,3,underground,27.567906709178203,103.62282269306525,41847.63442795454,0,181630.35185652133,252084.53301901396,9.328971148909984,15,64624.0,113641.02915214165
3,2010-04-08,Sub-bituminous B,283.8144405775347,2,underground,16.2824743803477,98.5048217115556,108999.98283234973,0,828830.745330937,790004.0655825539,12.754257910972173,9,67418.0,298916.36610241095
3,2010-01-02,Bituminous C,59.70321478494326,2,open-cast,17.456548685293637,90.22308078403286,92718.01988952263,0,193993.104515872,464018.0557259621,44.59183949942768,6,68652.0,250075.03676095084
4,2010-12-17,Sub-bituminous B,125.70432484169514,1,open-cast,15.794502233376818,103.89127392344398,99728.01990511693,0,155370.2900260923,708225.3575213946,50.16272756459473,6,66414.0,268545.12972392736
9,2010-04-26,Sub-bituminous C,571.3044359349814,1,underground,20.89497121133048,93.42538934893548,76322.94323109453,0,325687.4756040321,618758.1124118527,32.52086185435919,21,69996.0,207216.1251592864
9,2010-04-03,Anthracite,317.9361543269398,3,underground,28.646603611036245,105.57652585400659,115982.56861994787,0,680339.2076388466,608528.7986402955,13.921456118807841,16,69344.0,316412.06540409883
5,2010-12-09,Bituminous A,394.9510196465069,1,underground,27.532519702347688,108.58745827287125,63401.60323120604,0,308183.99366190605,329717.101143443,17.209163831244574,14,66515.0,172443.40540765983
5,2010-09-05,Anthracite,65.84052891033186,2,open-cast,17.6131131952819,94.31702229244337,52957.08801544507,0,45246.74390744747,272325.5673435206,22.936767229423022,8,66345.0,142296.01918143386
9,2010-10-12,Bituminous A,371.31306667218365,3,underground,24.742554473970966,91.67055066958348,33119.95104906841,0,136771.7760281673,212001.4644484659,13.900202987618036,9,63456.0,89882.99737493432
6,2010-02-18,Anthracite,536.7342639484282,2,underground,29.507965254256263,98.75065809078392,39988.122074444545,0,141639.17982584448,276079.7426545461,16.73117421068654,17,61103.0,108329.60843408332
5,2010-05-07,Bituminous C,97.26117493085567,3,open-cast,33.2648749887577,104.63397093694896,81505.12527965124,0,188049.94099992074,577671.9482467012,36.547693271284714,12,64212.0,219975.7452656647
